adult,backdrop_path,genre_ids,id,Title,original_language,original_title,overview,popularity,poster_path,release_date,softcore,video,vote_average,vote_count,query_year,Year_released,media_type,origin_country,original_name,first_air_date
False,/1wo90L3F7hA9h6cG5xfz3dB1IE6.jpg,"[53, 28, 35, 878]",10771,The Tuxedo,en,The Tuxedo,"Cabbie-turned-chauffeur Jimmy Tong learns there is really only one rule when you work for playboy millionaire Clark Devlin : Never touch Devlin's prized tuxedo. But when Devlin is temporarily put out of commission in an explosive accident, Jimmy puts on the tux and soon discovers that this extraordinary suit may be more black belt than black tie. Paired with a partner as inexperienced as he is, Jimmy becomes an unwitting secret agent.",10.546,/lTMnOx7E2zEzIGY0og1KkfgYMhY.jpg,2002-09-27,False,False,5.736,2207,2002,2002,film,,,
False,/dQutbCXdvcoRORJTcnakrICCkDb.jpg,"[28, 878, 53]",7299,Equilibrium,en,Equilibrium,"In a dystopian future, a totalitarian regime maintains peace by subduing the populace with a drug, and displays of emotion are punishable by death. A man in charge of enforcing the law rises to overthrow the system.",9.6097,/q6VzUsHs4Z3myBHkrPAA3avfGwn.jpg,2002-12-06,False,False,7.057,5115,2002,2002,film,,,
False,/i0eOILDW8HipIkOUSKhB1dvZzNJ.jpg,"[878, 12, 28]",2135,The Time Machine,en,The Time Machine,"Hoping to alter the events of the past, a 19th-century inventor instead travels 800,000 years into the future, where he finds mankind divided into two warring races.",8.6831,/iYayQahkghlbAsfOQX8b5eBzGVy.jpg,2002-03-04,False,False,6.336,2604,2002,2002,film,,,
False,/5pGWjnM62Zs0S1xRf3TDL1Xizr.jpg,"[27, 28, 878]",1576,Resident Evil,en,Resident Evil,"When a virus leaks from a top-secret facility, turning all resident researchers into ravenous zombies and their lab animals into mutated hounds from hell, the government sends in an elite military task force to contain the outbreak.",9.6352,/1UKNef590A0ZaMnxsscIcWuK1Em.jpg,2002-03-15,False,False,6.7,7049,2002,2002,film,,,
False,/2Gx0IssZeGhpwvULplQuf9UiI26.jpg,"[16, 9648, 878]",26662,Detective Conan: The Phantom of Baker Street,ja,名探偵コナン ベイカー街（ストリート）の亡霊,"Noah's Ark, the latest innovation in VR technology, is set for a showcase to Japan's privileged children. However, their carefree fun is cut short when a company employee is found murdered, with his dying message pointing to a clue hidden within the Ark.  Along with the Detective Boys and Ran Mouri, Conan Edogawa enters Noah's Ark to solve this mystery and ensure the perpetrator is caught.",7.0666,/AbgADjLIYoLAc3mayVWGBWSbjT.jpg,2002-04-20,False,False,7.781,237,2002,2002,film,,,
False,/5rKa5UKXnTdLsgY0mJbjAEQX3gB.jpg,"[10751, 28, 12, 35, 878]",9488,Spy Kids 2: The Island of Lost Dreams,en,Spy Kids 2: The Island of Lost Dreams,"Exploring the further adventures of Carmen and Juni Cortez, who have now joined the family spy business as Level 2 OSS agents. Their new mission is to save the world from a mad scientist living on a volcanic island populated by an imaginative menagerie of creatures. On this bizarre island, none of the Cortez's gadgets work and they must rely on their wits--and each other--to survive and save the day.",7.8024,/z8pfWCk6SlxxDLXXQdUHdxF5dwJ.jpg,2002-08-07,False,False,5.649,2372,2002,2002,film,,,
False,/zJqv6s4XCdHWrnoqfLqlGzzxSjH.jpg,"[53, 878, 9648]",437,Cube 2: Hypercube,en,Cube 2: Hypercube,"Eight strangers awaken with no memory, in a puzzling cube-shaped room where the laws of physics do not always apply.",4.5511,/bEqqwtwUP7lm56VyeVONhv9JtYu.jpg,2002-04-15,False,False,5.497,1650,2002,2002,film,,,
False,/avjG5EPgWXyLvsUId6hEn0iqT4A.jpg,"[18, 878, 9648]",2103,Solaris,en,Solaris,A troubled psychologist is sent to investigate the crew of an isolated research station orbiting a bizarre planet.,4.0637,/drdrB1hEZmzFlK1xtW5HMxK3LUJ.jpg,2002-11-27,False,False,5.944,1483,2002,2002,film,,,
False,/6nfEmbfWMuMBenYMOY6Vdho3Ycg.jpg,"[16, 12, 28, 14, 878]",33875,Pokémon Heroes,ja,劇場版ポケットモンスター 水の都の護神 ラティアスとラティオス,"Ash, Pikachu and the gang try and stop a pair of thieves hiding out in the canals and alleyways of Altomare, the age-old water capital. Joining the adventure are two new legendary Pokémon, a pair of siblings named Latias and Latios, who serve as peacekeepers and protectors of the Soul Dew — a priceless treasure with a mysterious power.",4.0817,/eySv5rdYLW1k6LxepxCNl8ND26R.jpg,2002-07-13,False,False,6.726,400,2002,2002,film,,,
False,/ygys5z5itmGGbSp2G003A6crCyO.jpg,"[12, 10751, 878, 53]",15028,Clockstoppers,en,Clockstoppers,"Until now, Zak Gibbs' greatest challenge has been to find a way to buy a car. But when he discovers an odd wristwatch amidst his father's various inventions and slips it on -- something very strange happens. The world around him seems to come to a stop, everything and everybody frozen in time. Zak quickly learns how to manipulate the device and he and his quick-witted and beautiful new friend, Francesca, start to have some real fun.",3.7379,/6XZJ58gStdLZV8uJyTRcA5bGNyi.jpg,2002-03-29,False,False,5.31,356,2002,2002,film,,,
